id,name,primary
55,Knight Frank,605
9,King Group Chingford,107
37,Foxtons,1149
81,Cound,168
104,Express Estate Agency,124
91,Countrywide,445
10,Century 21 Leytonstone,79
44,Mann Lettings,1161
79,James Pendleton,960
103,James Chiltern Estate Agents,1154
36,Cubitt & West,1145
98,Atkinson McLeod Balham Estate Agents,146
82,Beresford Residential,917
111,Your Move Brighton,1102
45,George Proctor & Partners,1169
66,CBRE Residential,310
34,Robertson Smith & Kempson - Estate Agents,666
63,Square Mile,616
12,Kinleigh Folkard & Hayward,542
32,Savills UK Estate Agents,674
101,"Garton Jones,",1495
62,Victorstone,425
24,City Living London,920
25,Davis & Gibbs,1294
27,Aspire Lambeth,912
28,Field & Sons,937
78,First Union Estate Agents,186
29,Belvoir Lettings,789
16,Castle Residential,630
70,Stephen James Estate Agents,428
31,Townends,678
7,Hetheringtons,101
18,Colin Bibra,633
57,Franklyn James,600
50,blah blah,664
93,David James Lettings,805
38,Barnard Marcus,1139
41,Choices,1143
39,Streets Ahead,1172
89,Palace Gates Lettings,251
47,Hunters Estate Agent,653
48,Foxtons Estate Agents,643
22,Atkinson McLeod,913
6,haart,99
106,Gibbs Gillespie,2092
15,Benham & Reeves Residential Lettings - Ealing,626
17,Catalyst Housing Limited,631
30,Rolfe East Estate Agents,670
51,Thorgills ,677
52,Hunters Estate Agents,654
105,Crestons,326
33,Dexters Estate Agents,637
72,Henry Wiltshire International,355
21,Acorn Estate Agents,908
53,OpenRent,611
59,Winkworth,1004
74,Marsh & Parsons,387
56,W J Meade,439
75,Chestertons,872
68,Jacksons Estate Agents,534
83,Eden Harper,934
40,Martin & Co,1162
108,Fox & Sons Estate Agents,1069
67,Granite Lettings,854
23,Portico,988
61,JLL Manchester,816
46,Pedder,1168
3,Spencers Property Services,122
80,Rentify,1170
86,Seymour Green Estate Agents,267
19,Aspire Balham Ltd,143
102,Collegiate Accomodation Consulting,921
118,Palmer Snell,2221
20,Barnard Marcus Estate Agents,148
131,Peter David Properties Ltd ,3654
87,Morgan Randall,391
5,Churchill Estates,80
54,Cluttons,323
84,Lauristons,968
77,John D Wood,884
96,Proctor George,458
94,Langford Russell,464
97,Curran & Pinner,449
129,Romans Estate Agents,691
92,Sinclair Hammelton,473
112,Urban.co.uk,3775
71,Life Residential,375
115,Frost & Co,2187
11,Andrews Letting and Management,140
76,Douglas & Gordon,930
90,Riverhomes,992
85,Sheraton Law,993
64,Lourdes,381
60,Thornley Groves,855
49,Tuffin & Wren,680
73,Eaton Green,932
65,ludlow thompson,386
43,Leaders,1158
14,Hamptons International Lettings,520
35,Fine & Country,1147
26,Dexters,638
4,Victor Michael,128
116,McKinlays,2209
99,Chappell & Matthews,1778
88,Visum,619
110,Mishon MacKay,1097
113,Halls,1080
69,Reeds Rains,2026
109,King & Chasemore,1089
114,Ellis & Partners,2183
117,Mays Estate Agents,2205
122,Taylor Made Letting & Estate Agents,2239
121,Goadsby,2192
119,Stephenson Browne Ltd,2876
120,Red Dot Estates Ltd ,2877
1,Bairstow Eves,70
42,Hamptons International Lettings,649
123,Purplebricks Group,2227
124,Austin & Wyatt,2158
125,MK Estates & Lettings,2211
126,Rook Matthews Sayer Estate Agents,3116
100,Bridgfords,793
127,Homefinders,1843
128,Connells Estate Agents,2637
58,Ellis and Co,94
95,Edward Ashdale,935
130,The Online Letting Agents,3653
132,William H Brown Estate Agents,2030
2,Felicity J. Lord Letting Agent,344
133,Featherstone Leigh,184
134,Strutt & Parker,3652
135,Felicity J Lord,3671
142,David Andrews Estate Agents,1667
143,Chancellors,2979
144,Downing Students ,3122
136,Fitz-Gibbon,3670
139,Currell,173
137,Stirling Ackroyd London,1854
138,Pall Mall Estates,1852
145,BlakeStanley,1831
141,Coopers Residential,2357
146,Taylors,2796
147,Hurford Salvi Carr,360
148,Inner City Estates,361
149,Dawn Sandoval,330
150,Chase Evans,313
151,Monreal Shaw,390
152,John Robert Property Services,106
153,Elizabeth Pryce,336
154,Anscombe & Ringland,3680
140,Black Katz,1647
155,Russell Collins,672
157,Aitchisons,2836
158,Cassidy & Tate,2843
159,Collinson Hall Chiswell Green office,2844
160,Jw & Co Langleys,2853
161,Putterills of Hertfordshire,2862
156,Linley & Simpson,2020
